id,allegiance,person,parish,latlng
418,Royalist,"George Otterburne of New Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
419,Royalist,"John Melmerby of Brompton-on-Swale, North Riding of Yorkshire",EASBY,"54.3924,-1.66460"
420,Royalist,"Thomas Race of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
421,Royalist,"Grizell Race of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
422,Royalist,"Richard Drowndale of Scarth Wood, North Riding of Yorkshire",WHORLTON,"54.4007,-1.28998"
423,Royalist,"James Stockton of East Harlsey, North Riding of Yorkshire",EAST HARLSEY,"54.3917,-1.34939"
424,Royalist,"Ralph Fowler of Barton, North Riding of Yorkshire",,"54.4740,-1.64657"
425,Royalist,"Edward Heslop of Ravensworth, North Riding of Yorkshire",KIRKBY RAVENSWORTH,"54.4670,-1.78358"
426,Royalist,"Thomas Pearson of Sand Hutton, North Riding of Yorkshire",THIRSK,"54.2324,-1.41586"
427,Royalist,"Elizabeth Denton of Potto, North Riding of Yorkshire",WHORLTON,"54.4260,-1.27001"
428,Royalist,"Richard Trowsdale of Scarth Wood, North Riding of Yorkshire",WHORLTON,"54.4007,-1.28998"
429,Royalist,"John Watters of Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2036,-1.27262"
430,Royalist,"Thomas Ewrit of Ainderby Steeple, North Riding of Yorkshire",AINDERBY STEEPLE,"54.3240,-1.48955"
431,Royalist,"Thomas Pearson of Sand Hutton, North Riding of Yorkshire",THIRSK,"54.2324,-1.41586"
432,Royalist,"James Boyes of Great Eston, North Riding of Yorkshire",ORMESBY,"54.5592,-1.14403"
433,Royalist,"William Holestock of Birdforth, North Riding of Yorkshire",COXWOLD,"54.1772,-1.25664"
434,Royalist,"Robert Potter of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
435,Royalist,"Anne Rennison of Great Broughton, North Riding of Yorkshire",KIRKBY,"54.4493,-1.15765"
436,Royalist,"Elizabeth Denton of Potto, North Riding of Yorkshire",WHORLTON,"54.4260,-1.27001"
437,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
438,Royalist,"Henry Browne of Sand Hutton, North Riding of Yorkshire",THIRSK,"54.2324,-1.41586"
439,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
440,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
441,Royalist,"Francis Fox of Bolton upon Swale, North Riding of Yorkshire",CATTERICK,"54.3879,-1.61343"
442,Royalist,"Robert Gornall of Cotherston, North Riding of Yorkshire",ROMALDKIRK,"54.5702,-1.98038"
443,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
444,Royalist,"Matthew Winter of Skipton on Swale, North Riding of Yorkshire",TOPCLIFFE,"54.2117,-1.43882"
445,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
446,Royalist,"Francis Fox of Bolton upon Swale, North Riding of Yorkshire",CATTERICK,"54.3879,-1.61343"
447,Royalist,"Dorothy Woody of Topcliffe, North Riding of Yorkshire",TOPCLIFFE,"54.1781,-1.38704"
448,Royalist,"John Green of Gilling, North Riding of Yorkshire",GILLING,"54.4415,-1.71894"
449,Royalist,"John Smurthwaite of Carthorpe, North Riding of Yorkshire",BURNESTON,"54.2491,-1.52767"
450,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
451,Royalist,"William Walter of Ormesby, North Riding of Yorkshire",ORMESBY,"54.5432,-1.18278"
452,Royalist,"John Morley of Kirk Levington, North Riding of Yorkshire",KIRKLEVINGTON,"54.4829,-1.33470"
453,Royalist,"Charles Juit of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
454,Royalist,"Julian Barker of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
455,Royalist,"Ralph Benson of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
456,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
457,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
458,Royalist,"William Reman of South Otterington, North Riding of Yorkshire",SOUTH OTTERINGTON,"54.2820,-1.42544"
459,Royalist,"William Walker of Beadlam, North Riding of Yorkshire",HELMSLEY,"54.2535,-0.998507"
460,Royalist,"Bryan Metcalfe of Gunnerside, North Riding of Yorkshire",GRINTON,"54.3792,-2.07719"
461,Royalist,"Roger Ward of Catterick, North Riding of Yorkshire",CATTERICK,"54.3770,-1.63188"
462,Royalist,"George Marshall of Sinderby, North Riding of Yorkshire",PICKHILL,"54.2311,-1.47234"
463,Royalist,"Francis Ovington of Gilling, North Riding of Yorkshire",GILLING,"54.4415,-1.71894"
464,Royalist,"Jane Heild of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
465,Royalist,"James Sowerby of Ellerby, North Riding of Yorkshire",LYTHE,"54.5201,-0.767362"
466,Royalist,"John Garbutt of Faceby, North Riding of Yorkshire",WHORLTON,"54.4214,-1.23698"
467,Royalist,"Richard Whiteman of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
468,Royalist,"Gabriel Hawkswell of Holme, North Riding of Yorkshire",PICKHILL,"54.2344,-1.45574"
469,Royalist,"Robert Usher of Spaunton, North Riding of Yorkshire",LASTINGHAM,"54.2993,-0.890335"
470,Royalist,"James Merricke of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
471,Royalist,"James Weatherill of Whorlton, North Riding of Yorkshire",WHORLTON,"54.4143,-1.25320"
472,Royalist,"Percival Millerson of Wath, North Riding of Yorkshire",HOVINGHAM,"54.1671,-0.962749"
473,Royalist,"Matthew Winter of Skipton on Swale, North Riding of Yorkshire",TOPCLIFFE,"54.2117,-1.43882"
474,Royalist,"William Reman of South Otterington, North Riding of Yorkshire",SOUTH OTTERINGTON,"54.2820,-1.42544"
475,Royalist,"Richard Whiteman of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
476,Royalist,"William Tunstall of Ingleby under Arncliffe, North Riding of Yorkshire",ARNCLIFFE,"54.4014,-1.31330"
477,Royalist,"Jane Tod of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
478,Royalist,"John Soulby of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
479,Royalist,"Mary Usher of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
480,Royalist,"John Covell of Low Newstead, North Riding of Yorkshire",EAST WITTON,"54.2652,-1.74963"
481,Royalist,"Thomas Stevenson of Gilling, North Riding of Yorkshire",GILLING,"54.4415,-1.71894"
482,Royalist,"Walter Vallian of Melsonby, North Riding of Yorkshire",MELSONBY,"54.4707,-1.69503"
483,Royalist,"James Scurry of Aldbrough, North Riding of Yorkshire",ALDBOROUGH,"54.0911,-1.38044"
484,Royalist,"Thomas Mayson of Middleham, North Riding of Yorkshire",MIDDLEHAM,"54.2867,-1.80498"
485,Royalist,"William Reman of South Otterington, North Riding of Yorkshire",SOUTH OTTERINGTON,"54.2820,-1.42544"
486,Royalist,"Richard Dowson of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
487,Royalist,"Atterton Goodhead of North Loftus, North Riding of Yorkshire",LOFTUS,"54.5537,-0.885272"
488,Royalist,"Christopher Tod of Eston, North Riding of Yorkshire",ORMESBY,"54.5592,-1.14403"
489,Royalist,"Julian Barker of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
490,Royalist,"Richard Chapman of Moorseholm, North Riding of Yorkshire",SKELTON,"54.5210,-0.936654"
491,Royalist,"Mary Usher of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
492,Royalist,"William Wilson of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
493,Royalist,"William Robson of Sawdon, North Riding of Yorkshire",BROMPTON,"54.2480,-0.551169"
494,Royalist,"John Hopper of Sawdon, North Riding of Yorkshire",BROMPTON,"54.2480,-0.551169"
495,Royalist,"Grizell Race of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
496,Royalist,"Jane Browne of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
497,Royalist,"Jane Powles of Ellerbeck, North Riding of Yorkshire",OSMOTHERLEY,"54.3638,-1.33293"
498,Royalist,"Thomas Wood of Potto, North Riding of Yorkshire",WHORLTON,"54.4260,-1.27001"
499,Royalist,"Robert Tompson of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
500,Royalist,"Matthew Winter of Skipton on Swale, North Riding of Yorkshire",TOPCLIFFE,"54.2117,-1.43882"
501,Royalist,"Thomas Ewrit of Ainderby Steeple, North Riding of Yorkshire",AINDERBY STEEPLE,"54.3240,-1.48955"
502,Royalist,"Robert Vicars of Catton, North Riding of Yorkshire",TOPCLIFFE,"54.1974,-1.43396"
503,Royalist,"Elizabeth Windell of Barforth, North Riding of Yorkshire",0,"54.5451,-1.75132"
504,Royalist,"Jane Tod of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
505,Royalist,"Grizell Race of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
506,Royalist,"William Walter of Ormesby, North Riding of Yorkshire",ORMESBY,"54.5432,-1.18278"
507,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
508,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
509,Royalist,"Jane Heild of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
510,Royalist,"Julian Barker of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
511,Royalist,"Isabel Merricke of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
512,Royalist,"Mary Stephenson of Wombleton, North Riding of Yorkshire",KIRKDALE,"54.2455,-0.975082"
513,Royalist,"Charles Juit of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
514,Royalist,"Richard Leach of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
515,Royalist,"Jane Tod of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
516,Royalist,"Richard Weightman of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
517,Royalist,"Roger Simpson of Helmsley, North Riding of Yorkshire, the elder",HELMSLEY,"54.2453,-1.05817"
518,Royalist,"Thomas Stevenson of Gilling, North Riding of Yorkshire",GILLING,"54.4415,-1.71894"
519,Royalist,"Robert Grayson of Gilling, North Riding of Yorkshire",GILLING,"54.4415,-1.71894"
520,Royalist,"Richard Whiteman of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
521,Royalist,"William Bell of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
522,Royalist,"George Wilson of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
523,Royalist,"Margaret Wilson of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
524,Royalist,"Richard Whiteman of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
525,Royalist,"Mary Stephenson of Wombleton, North Riding of Yorkshire",KIRKDALE,"54.2455,-0.975082"
526,Royalist,"Thomas Carrey of Bedale, North Riding of Yorkshire",BEDALE,"54.2871,-1.59104"
527,Royalist,"Beatrice Best of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
528,Royalist,"William Best of Catton, North Riding of Yorkshire",TOPCLIFFE,"54.1974,-1.43396"
529,Royalist,"Lancelot Watson of Stainton, North Riding of Yorkshire",STAINTON,"54.3644,-1.84048"
530,Royalist,"Harmon Allen of Rievaulx, North Riding of Yorkshire",HELMSLEY,"54.2589,-1.11694"
531,Royalist,"Richard Leach of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
532,Royalist,"Stephen Allanby of New Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
533,Royalist,"Jane Dale of Hovingham, North Riding of Yorkshire",HOVINGHAM,"54.1720,-0.979475"
534,Royalist,"Robert Chapman of Stranghow, North Riding of Yorkshire",SKELTON,"54.5313,-0.960456"
535,Royalist,"Elizabeth Brinsby of Rievaulx, North Riding of Yorkshire",HELMSLEY,"54.2589,-1.11694"
536,Royalist,"William Tuting of Masham, North Riding of Yorkshire",MASHAM,"54.2220,-1.65648"
537,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
538,Royalist,"Edward Heslop of Ravensworth, North Riding of Yorkshire",KIRKBY RAVENSWORTH,"54.4670,-1.78358"
539,Royalist,"George Wilkinson of Norton Conyers, North Riding of Yorkshire",WATH,"54.1811,-1.51787"
540,Royalist,"Richard Whiteman of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
541,Royalist,"Isabel Reman of South Otterington, North Riding of Yorkshire",SOUTH OTTERINGTON,"54.2820,-1.42544"
542,Royalist,"Margery Cooper of Thornbrough, North Riding of Yorkshire",SOUTH KILVINGTON,"54.2561,-1.34392"
543,Royalist,"John Sparrow of Hovingham, North Riding of Yorkshire",HOVINGHAM,"54.1720,-0.979475"
544,Royalist,"Richard Whiteman of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
545,Royalist,"William Wilson of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
546,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
547,Royalist,"Richard Mewburne of Ayton, North Riding of Yorkshire",AYTON,"54.4881,-1.13293"
548,Royalist,"Margery Cooper of Thornbrough, North Riding of Yorkshire",SOUTH KILVINGTON,"54.2561,-1.34392"
549,Royalist,"John Sparrow of Hovingham, North Riding of Yorkshire",HOVINGHAM,"54.1720,-0.979475"
550,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
551,Royalist,"Thomas Carrey of Bedale, North Riding of Yorkshire",BEDALE,"54.2871,-1.59104"
552,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
553,Royalist,"Charles Juit of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
554,Royalist,"Robert Tompson of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
555,Royalist,"John Sparrow of Hovingham, North Riding of Yorkshire",HOVINGHAM,"54.1720,-0.979475"
556,Royalist,"Widow Layton of Byland, North Riding of Yorkshire",OLD BYLAND,"54.2664,-1.15802"
557,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
558,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
559,Royalist,"James Stockton of East Harlsey, North Riding of Yorkshire",EAST HARLSEY,"54.3917,-1.34939"
560,Royalist,"Widow Vaughan of Marske in Cleveland, North Riding of Yorkshire",MARSKE,"54.3997,-1.83927"
561,Royalist,"John Cindrens of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
562,Royalist,"Charles Juit of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
563,Royalist,"Roger Simpson of Helmsley, North Riding of Yorkshire, the elder",HELMSLEY,"54.2453,-1.05817"
564,Royalist,"John Slonas of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
565,Royalist,"Thomas Marwood of Yarm, North Riding of Yorkshire",YARM,"54.5091,-1.35434"
566,Royalist,"Richard Tollerton of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
567,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
568,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
569,Royalist,"Robert Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
570,Royalist,"William Kirk of Bilsdale, North Riding of Yorkshire",HELMSLEY,"54.3898,-1.11782"
571,Royalist,"William Walker of Beadlam, North Riding of Yorkshire",HELMSLEY,"54.2535,-0.998507"
572,Royalist,"Thomas Marwood of Yarm, North Riding of Yorkshire",YARM,"54.5091,-1.35434"
573,Royalist,"Robert Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
574,Royalist,"Thomas Bussey of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
575,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
576,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
577,Royalist,"Henry Paige of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
578,Royalist,"John Slonas of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
579,Royalist,"Robert Wrigglesworth of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
580,Royalist,"William Kirk of Bilsdale, North Riding of Yorkshire",HELMSLEY,"54.3898,-1.11782"
581,Royalist,"Thomas Morgan of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
582,Royalist,"Robert Gornall of Cotherston, North Riding of Yorkshire",ROMALDKIRK,"54.5702,-1.98038"
583,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
584,Royalist,"Thomas Bussey of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
585,Royalist,"Robert Wrigglesworth of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
586,Royalist,"Margaret Allen of Whashton, North Riding of Yorkshire",KIRKBY RAVENSWORTH,"54.4502,-1.76869"
587,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
588,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
589,Royalist,"Matthew Winter of Skipton on Swale, North Riding of Yorkshire",TOPCLIFFE,"54.2117,-1.43882"
590,Royalist,"John Slonas of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
591,Royalist,"Thomas Marwood of Yarm, North Riding of Yorkshire",YARM,"54.5091,-1.35434"
592,Royalist,"Robert Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
593,Royalist,"Richard Tollerton of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
594,Royalist,"William Kirk of Bilsdale, North Riding of Yorkshire",HELMSLEY,"54.3898,-1.11782"
595,Royalist,"John Humfrey of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
596,Royalist,"William Reyman of Northallerton, North Riding of Yorkshire",NORTHALLERTON,"54.3404,-1.43455"
597,Royalist,"Robert Wrigglesworth of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
598,Royalist,"Thomas Carrey of Bedale, North Riding of Yorkshire",BEDALE,"54.2871,-1.59104"
599,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
600,Royalist,"Thomas Bussey of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
601,Royalist,"Richard Tollerton of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
602,Royalist,"Roger Simpson of Helmsley, North Riding of Yorkshire, the elder",HELMSLEY,"54.2453,-1.05817"
603,Royalist,"John Ellis of Oswaldkirk, North Riding of Yorkshire",OSWALDKIRK,"54.2029,-1.04556"
604,Royalist,"Richard Tollerton of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
605,Royalist,"William Walker of Beadlam, North Riding of Yorkshire",HELMSLEY,"54.2535,-0.998507"
606,Royalist,"Robert Wrigglesworth of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
607,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
608,Royalist,"Christopher Abbot of Kirklington, North Riding of Yorkshire",KIRKLINGTON,"54.2257,-1.51246"
609,Royalist,"Ambrose Prest of Pickhill, North Riding of Yorkshire",PICKHILL,"54.2462,-1.47057"
610,Royalist,"William Holestock of Birdforth, North Riding of Yorkshire",COXWOLD,"54.1772,-1.25664"
611,Royalist,"Matthew Winter of Skipton on Swale, North Riding of Yorkshire",TOPCLIFFE,"54.2117,-1.43882"
612,Royalist,"Thomas Bussey of Little Thirkleby, North Riding of Yorkshire",THIRKLEBY,"54.2014,-1.26765"
613,Royalist,"Robert Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
614,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
615,Royalist,"Henry Paige of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
616,Royalist,"William Walker of Beadlam, North Riding of Yorkshire",HELMSLEY,"54.2535,-0.998507"
617,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
618,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
619,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
620,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
621,Royalist,"Ambrose Prest of Pickhill, North Riding of Yorkshire",PICKHILL,"54.2462,-1.47057"
622,Royalist,"Robert Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
623,Royalist,"Christopher Abbot of Kirklington, North Riding of Yorkshire",KIRKLINGTON,"54.2257,-1.51246"
624,Royalist,"Richard Tollerton of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
625,Royalist,"John Lowerance of Stokesley, North Riding of Yorkshire",STOKESLEY,"54.4703,-1.19086"
626,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
627,Royalist,"Christopher Lyon of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
628,Royalist,"Roger Dale of Thirsk, North Riding of Yorkshire",THIRSK,"54.2325,-1.34281"
629,Royalist,"John Reed of Yarm, North Riding of Yorkshire",YARM,"54.5091,-1.35434"
630,Royalist,"Robert Render of Raskelf, North Riding of Yorkshire",EASINGWOLD,"54.1331,-1.24619"
631,Royalist,"John Reed of Yarm, North Riding of Yorkshire",YARM,"54.5091,-1.35434"